zts1e	Nouveau objet
zts1747e	Challenge le Chevalier géant !
zts1748e	Challenge Trikung Trikung !
zts1749e	Défie Chrysos !
zts1750e	Patron vestimentaire de l'épine d'Amir
zts1751e	Parchemin d'arme A d'Amir
zts1752e	Dessin B de l'arme de l'épine d'Amir
zts1753e	Spécifications de l'arme d'Amir
zts1754e	1ère de couverture du livre de spécifications de l'arme d'Amir.
zts1755e	Halite
zts1756e	Crinière bleue
zts1757e	Fruit pollué
zts1758e	Fruit doré
zts1759e	Locomotive
zts1760e	Écorce polluée
zts1761e	Écorce dorée
zts1762e	Racine maudite
zts1763e	Écrou géant
zts1764e	Pointe de flèche sale
zts1765e	Fer à yak
zts1766e	Jambe de taupe-criquet
zts1767e	Champignon doré
zts1768e	Flèche géante
zts1769e	Epée cassée
zts1770e	Molaire géante
zts1771e	Mousse dorée
zts1772e	Queue de taupe
zts1773e	Perle de cristal
zts1774e	Perle du destin
zts1775e	Perle violette
zts1776e	Perle de sang
zts1777e	Perle-citrouille
zts1778e	Perle dorée
zts1779e	Griffe géante
zts1780e	Parafoudre
zts1781e	Engrenage
zts1782e	Écorce pourrie
zts1783e	Racine polluée
zts1784e	Queue de rat
zts1785e	Antenne
zts1786e	Sépare l'obscurité de la clarté avec l'épée de feu et de glace de l'enfer.
zts1787e	Provoque une étrange sensation d'une épée aiguisée.[n]
zts1788e	Sent la protection du grand guerrier.[n]
zts1789e	L'arc possède un grand pouvoir, généré par la plume d'ange.
zts1790e	Forgé par la main d'un ange par une méthode simple.[n]
zts1791e	Un bâton béni par les anges.[n] Contient un pouvoir très puissant.[n]
zts1792e	Avec le manifeste de l'esprit sacré gravé sur l'épée, tu sens qu'il te protège en permanance.[n]
zts1793e	Tu te sens capable de vaincre quoi que ce soit : plus tu te bats, plus tu seras fort.[n]
zts1794e	Fend l'ennemi comme une tornade.[n]
zts1795e	Rend ton coeur serain, grâce à l'esprit et à la bénédiction de l'eau.[n]
zts1796e	Contient le signe d'un grand empereur.[n]
zts1797e	Un ancien trésor de fée, contient un peu de leur pouvoir.
zts1798e	Contient la passion du magicien maléfique.[n] Te pousse à attaquer les ennemis.[n]
zts1799e	Contient la passion du bon magicien.[n] Augmente ton endurance.[n]
zts1800e	Ancienne propriété d'un noble célèbre, contient sa propre dignité.[n]
zts1801e	Une armure composée de fabuleuse plaque dorée, elle porte la dignité d'un chevalier.[n]
zts1802e	Le signe protecteur des elfes y est gravé à la surface. Calme quiconque le porte.[n]
zts1803e	Le signe protecteur du noble Gardien y est gravé à la surface. Augmente la dignité de quiconque le porte.[n]
zts1804e	Niveau recommandé : 65-99[n]L'entrée se fait par le Tunnel enfoui -3.[n]Il n'y a aucune restriction concernant le nombre de participants.[n]
zts1805e	Challenge le Chevalier Géant A !
zts1806e	Niveau recommandé : 65-99[n]L'entrée se fait par l'Orée de Sapinière.[n]Il n'y a aucune restriction concernant le nombre de participants.[n][n]
zts1807e	Challenge le Chevalier Géant B !
zts1808e	Challenge le Chevalier Géant C !
zts1809e	Défie Treekun A !
zts1810e	Limite de niveau : 65-99[n]Tu peux y entrer par la [sapinière].[n]Il n'y a aucune restriction concernant le nombre de participants, ni pour les familles ni pour le mode solo.[n]
zts1811e	Challenge Trikung-Trikung B !
zts1812e	Challenge Trikung-Trikung C !
zts1813e	Défie Chrysos A !
zts1814e	Limite de niveau : 65-99[n]Tu peux y entrer par l'Érablière.[n]Il n'y a aucune restriction concernant le nombre de participants.[n][n]
zts1815e	Défie Chrysos B !
zts1816e	Défie Chrysos C !
zts1817e	Pierre d'espace-temps du basilic
zts1818e	Pierre d'espace-temps du chevalier géant
zts1819e	Pierre d'espace-temps du Treekun
zts1820e	Pierre d'espace-temps de Chrysos
zts1821e	Planche en bois de raton laveur
zts1822e	Gemme du cristal de feu
zts1823e	Gemme de Cristal d'ondée
zts1824e	Gemme de Cristal du vent
zts1825e	Squelette damné
zts1826e	Ramure de yak
zts1827e	Morceau d'armure noire
zts1828e	Poudre de teinture noire
zts1829e	Branche de bois rouge
zts1830e	Boule de boue
zts1831e	Sable étincelant
zts1832e	Patte aiguisée
zts1833e	Cristal de voeu
zts1834e	Morceau de gemme noire
zts1835e	Branche polluée
zts1836e	Coeur du basilic
zts1837e	Morceau de peau
zts1838e	Poussière de mites
zts1839e	Cristal d'Esprit des bois
zts1840e	Feuille dorée
zts1841e	Sève de sapin
zts1842e	Coeur endurci
zts1843e	Peau de lézard
zts1844e	Crinière brunne
zts1845e	4ème de couverture très dure
zts1846e	Enorme boule de cellules
zts1847e	Sac lumineux
zts1848e	Pierre de sable
zts1849e	Dent de sangsue
zts1850e	Sang figé
zts1851e	Gel vert
zts1852e	Jus pollué
zts1853e	Pas de croissance, mais 35 pouvoir de la Lumière. [n] Quand on porte l'Amulette du Sorcier, 20% d'épargne sur la consommation de Points de Production.[n]
zts1854e	Ceinture de joyaux de Rebecca
zts1855e	Pierre sanglante
zts1856e	Journal de Piena
zts1857e	Page déchirée
zts1858e	Collier de la pierre de chance
zts1859e	Bouteille d'eau sacrée
zts1860e	Portrait de Justin
zts1861e	Petit coffre-fort
zts1862e	Clé triangulaire
zts1863e	Mouchoir de Ruddy
zts1864e	Javel spéciale
zts1865e	Récipient de Javel spéciale
zts1866e	Paille
zts1867e	Cosse de haricots
zts1868e	Silex
zts1869e	Le livre élémentaire de l'aventure
zts1870e	Espace-temps du coeur glacé
zts1871e	Espace-temps du destructeur
zts1872e	Espace-temps du gardien de la Lumière
zts1873e	Espace-temps d'Archtheridon
zts1874e	Bouteille d'eau spéciale
zts1875e	Les aventuriers ne peuvent pas s'en équiper. [n] C'est le casque du légendaire Chevalier noir.[n][n]
zts1876e	Les aventuriers ne peuvent pas s'en équiper. [n] C'est le masque du légendaire Chevalier noir.[n][n]
zts1877e	Coupe Jackson Five
zts1878e	Coupe punk
zts1879e	Perle de Ratufu (Japon)
zts1880e	Perle de Ratufu noir (Japon)
zts1881e	Masque furieux A (Japon)
zts1882e	Masque Furieux B (Japon)
zts1883e	Masque Furieux C (Japon)
zts1884e	Cache-oeil des abysses A (Japon)
zts1885e	Cache-oeil des abysses B (Japon)
zts1886e	Cache-oeil des abysses C (Japon)
zts1887e	Masque silencieux A (Japon)
zts1888e	Masque silencieux B (Japon)
zts1889e	Masque silencieux C (Japon)
zts1890e	Coupe Jackson Five multicolore
zts1891e	Coupe punk rare
zts1892e	Carte de spécialiste : élément Lumière[n][n]La volonté de fer et la foi du Croisé maintiennent l'équilibre entre le bien et le mal.[n]Contre ce défenseur de la justice, les forces du mal sont désarmées.[n][n]
zts1893e	Carte de spécialiste : élément Feu[n][n]Sa nature destructive perdra l'adversaire qui croisera la route de cet aventurier explorateur. La rage brûlante qui l'anime supprime ses ennemis sans pitié.[n][n]
zts1894e	Carte de spécialiste : élément Eau[n][n]En situation de danger, son coeur de glace gèle son corps et augmente ainsi la résistance à l'élément Eau.[n]Il maîtrise parfaitement le froid et le gel.[n][n]
zts1895e	Les compétences d'une fée portée augmentent de 30 % pendant 1 heure.[n]Après usage, l'apparence de la fée change (valable uniquement pour les fées achetées).[n][n]
zts1896e	Airwaves cassis
zts1897e	Apparition de l'émoticon mâche. [n][n]
zts1898e	Airwaves eucalyptus
zts1899e	Airwaves fraise
zts1900e	Airwaves menthol
zts1901e	Airwaves citron
zts1902e	Airwaves orange
zts1903e	Sort du souffle du vent
zts1904e	Tombé sous le sort souffle du vent.[n][n]
zts1905e	Teinture mie de pain
zts1906e	Bombe de couleur - change la couleur des cheveux.[n] Utilisation unique.[n][n]
zts1907e	Mini-Jeu Deux cerveaux
zts1908e	Pastilles airwaves
zts1909e	Le sort de Souffle d'air est lancé.[n][n]
zts1910e	Citrouille
zts1911e	Airwaves
zts1912e	La dernière machine à écrire
zts1913e	Table de mémoire
zts1914e	Airwaves cerise
zts1915e	Coupe Jackson Five brune
zts1916e	Fragment de mémoire violet
zts1917e	Contient la haine infinie des non-morts[n]
zts1918e	Fragment de mémoire vert
zts1919e	On peut sentir réellement ressentir une liberté de l'âme.[n]
zts1920e	Fragment de mémoire rouge
zts1921e	Contient la furie d'un guerrier fou[n]
zts1922e	Fragment de mémoire blanc
zts1923e	Traité de Whitney
zts1924e	Il est écrit sur la couverture : « Ce mois-ci : enquête sur un travail primé ».[n]Serre-tête de Natalie
zts1925e	Ruban de Nathalie
zts1926e	J'ai cru entendre "La vie à tout prix."[n]
zts1927e	Collier de Piepe
zts1928e	Cela dit "A mon très cher ami, Piepe de Kupei"[n]
zts1929e	Figurine de loup en bois
zts1930e	Consciencieusement sculpté[n]
zts1931e	Anneau de Seina
zts1932e	Il est écrit "Veux-tu m'épouser ?"[n]
zts1933e	Cristal du démon
zts1934e	En censé détecter où se trouvent les démons, mais ne marche pas. [n]
zts1935e	Lance du prêtre inachevée
zts1936e	Lance du prêtre
zts1937e	Tout ça, ça sert à tuer les démons ! [n]
zts1938e	Minerai inconnu
zts1939e	Aile d'Ange
zts1940e	Crinière d'Enkidu
zts1941e	Feuille de Seli-Lusha
zts1942e	Fil de Fever
zts1943e	Espace-temps de la haine infinie
zts1944e	Espace-temps de l'ermite
zts1945e	Espace-temps de la flamme noire
zts1946e	Espace-temps d'Echekaruel Mysticaron
zts1947e	Plan de construction « lance du prêtre inachevée »
zts1948e	Bénédiction de la gemme d'âme
zts1949e	Augmente de 30% le volume d'acquisition d'expérience de métier. (Peut être utilisé avec la bénédiction d'Ancelloan.)[n]
zts1950e	Parchemin protecteur SP inférieur
zts1951e	Utilise le parchemin protecteur pour améliorer ta carte de spécialiste de niveau 0 à 9. Même si l'amélioration échoue, l'âme étincelante rouge ou verte n'est pas perdue ![n]Utilisation :[n]Double-clique sur le parchemin protecteur pour l'activer.[n]En double-cliquant dessus à nouveau, l'effet disparaîtra[n](dans ce cas, le parchemin protecteur ne sera pas utilisé).[n]Un parchemin protecteur SP ne sera consommé que lorsque tu en auras besoin pour améliorer une carte de spécialiste.[n]
zts1952e	Parchemin protecteur SP supérieur
zts1953e	Utilise le parchemin protecteur pour améliorer ta carte de spécialiste de niveau 10 à 14. Même si l'amélioration échoue, l'âme étincelante bleue n'est pas perdue ![n]Mode d'emploi :[n]Double-clique sur le parchemin protecteur pour l'activer.[n]En double-cliquant dessus à nouveau, l'effet disparaîtra[n](dans ce cas, le parchemin protecteur ne sera pas utilisé).[n]Un parchemin protecteur SP ne sera consommé que lorsque tu en auras besoin pour améliorer une carte de spécialiste.[n]
zts1954e	Pierre de résurrection d'âme
zts1955e	Si tu utilises la pierre de résurrection d'âme après t'être équipé d'une carte de spécialiste détruite, l'âme du spécialiste revie et tu peux l'utilise de nouveau.[n]Augmente les SP de 1000 points.[n]
zts1956e	Potion de réinitialisation des points
zts1957e	Restaure tous les points de statut dépensés sur les cartes de spécialiste.[n]
zts1958e	Plume d'ange
zts1959e	Sert à l'amélioration des cartes de spécialistes. Suffit de l'apporter à Malcolm Mix avec un cristal de pleine lune et une âme étincelante et la carte sera améliorée. [n][n]
zts1960e	Âme étincelante verte
zts1961e	Cet objet est utilisé pour améliorer les cartes de spécialiste de niveau 0 à 4.[n][n]
zts1962e	Âme étincelante rouge
zts1963e	Cet objet est utilisé pour améliorer les cartes de spécialiste de niveau 5 à 9.[n][n]
zts1964e	Âme étincelante bleue
zts1965e	Cet objet est utilisé pour améliorer les cartes de spécialistes de niveau 10 à 14.[n][n]
zts1966e	Tu peux améliorer les cartes de spécialistes de 1 à 10 grâce à cet objet.[n] Si l'amélioration échoue, l'âme étincelante verte et l'âme étincelante rouge ne disparaissent pas, et la "Destruction d'âme" ne survient pas. [n] [Utilisation] [n]Un double-clique lancera l'effet.[n]Une deuxième double-clique y mettra fin. [n](Dans ce cas, l'objet peut être réutilisé jusqu'à épuisement).[n][n]
zts1967e	Utilise le parchemin protecteur pour améliorer ta carte de spécialiste de niveau 10 à 14. Même si l'amélioration échoue, l'âme étincelante bleue n'est pas perdue ![n]Mode d'emploi :[n]Double-clique sur le parchemin protecteur pour l'activer.[n]En double-cliquant dessus à nouveau, l'effet disparaîtra[n](dans ce cas, le parchemin protecteur ne sera pas utilisé).[n]Un parchemin protecteur SP ne sera consommé que lorsque tu en auras besoin pour améliorer une carte de spécialiste.[n]
zts1968e	Si tu utilises une pierre de résurrection d'âme après la destruction[n]de ta carte de spécialiste, l'âme de ton spécialiste reviendra à la vie.[n][n]
zts1969e	Utilisé pour améliorer les cartes de spécialiste.[n][n]
zts1970e	Le volume d'aquisition d'expérience de métier spécialiste augmente de 50%. (Peut être utilisé avec la bénédiction d'Ancelloan.)[n][n]
zts1971e	Utilise le rouleau de protection pour améliorer tes cartes de spécialiste qui sont de niveau 0 à 9. [n] Si l'amélioration échoue, l'âme étincelante verte ou rouge n'est pas perdue. [n] [Utilisation] [n] Double-clique sur le rouleau de protection pour l'activer. [n] En double-cliquant dessus à nouveau, l'effet disparaîtra.[n](Dans ce cas, le rouleau ne sera pas utilisé).[n] Un rouleau de protection ne sera consommé que lorsqu'une carte de spécialiste aura été améliorée grâce à l'effet d'un rouleau.[n]
zts1972e	Utilise le rouleau de protection pour améliorer tes cartes de spécialiste qui sont de niveau 10 à 14. [n] Si l'amélioration échoue, l'âme étincelante bleue n'est pas perdue. [n] [Utilisation] [n] Double-clique sur le rouleau de protection pour l'activer. [n] En double-cliquant dessus à nouveau, l'effet disparaîtra.[n](Dans ce cas, le rouleau ne sera pas utilisé).[n] Un rouleau de protection ne sera consommé que lorsqu'une carte de spécialiste aura été améliorée grâce à l'effet d'un rouleau.[n]
zts1973e	Si tu utilises une pierre de résurrection d'âme après la destruction[n]de ta carte de spécialiste, l'âme de ton spécialiste reviendra à la vie.[n]Les points de spécialiste de base augmentent en plus de 1 000.[n][n]
zts1974e	Perle du Ratufu de Noël
zts1975e	Perle de bonhomme de neige
zts1976e	Utilise le parchemin protecteur pour améliorer ta carte de spécialiste de niveau 0 à 9. Même si l'amélioration échoue, l'âme étincelante rouge ou verte n'est pas perdue ![n]Mode d'emploi :[n]Double-clique sur le parchemin protecteur pour l'activer.[n]En double-cliquant dessus à nouveau, l'effet disparaîtra[n](dans ce cas, le parchemin protecteur ne sera pas utilisé).[n]Un parchemin protecteur SP ne sera consommé que lorsque tu en auras besoin pour améliorer une carte de spécialiste.[n]
zts1977e	Utilise le parchemin protecteur pour améliorer ta carte de spécialiste de niveau 10 à 14. Même si l'amélioration échoue, l'âme étincelante bleue n'est pas perdue ![n]Mode d'emploi :[n]Double-clique sur le parchemin protecteur pour l'activer.[n]En double-cliquant dessus à nouveau, l'effet disparaîtra[n](dans ce cas, le parchemin protecteur ne sera pas utilisé).[n]Un parchemin protecteur SP ne sera consommé que lorsque tu en auras besoin pour améliorer une carte de spécialiste.[n]
zts1978e	Si tu utilises une pierre de résurrection d'âme après la destruction[n]de ta carte de spécialiste, l'âme de ton spécialiste reviendra à la vie.[n][n]
zts1979e	Chaussette de Noël
zts1980e	Étoile filante
zts1981e	Clochette de Noël
zts1982e	Paquet-cadeau de l'évènement hivernal
zts1983e	Sceau de raid du bonhomme de neige
zts1984e	Un joueur mène de raid grâce à l'Igloo dans NosVille.[n] Niveau recommandé: 20~99[n][Usage][n]Je joueur peut être le meneur de l'expédition en l'utilisant. Une fois quíl est meneur, [n]le joueur peut ajouter des membres à son expédition en cliquant sur les autres joueurs puis sur le bouton "Joindre"[n] . [n]Le meneur se rend à l'entrée de la carte du raid avec les membres de son expédition[n], lorsqu'il entre, il est automatiquement accompagné de tous les membres. [n][Attention][n] Les joueurs d'un niveau supérieur à celui recommandé peuvent joindre l'expédition, [n]mais ils recevront un handicap.[n] (Pas d'augmentation du niveau de vie, pas de conservation des boîtes cadeaux même en cas de succès du raid.)[n][n]
zts1985e	Gâteau
zts1986e	Chocolat chaud
zts1987e	Augmente temporairement les HP et MP[n]Soigne les NosMates et partenaires[n]Objet évènementiel de Noël[n][n]
zts1988e	Cet objet permet de faire revenir à la vie la carte de spécialiste détruite.[n]Double-clique sur le parchemin pour ressusciter l'âme immédiatement.[n]Les points de spécialiste de base augmentent en plus de 10 000.[n][n]
zts1989e	Lot de boîtes à énigmes
zts1990e	Tu peux obtenir une boîte à énigmes A, une boîte à énigmes B ou une boîte à énigmes C.[n]La boîte à énigmes peut contenir divers objets de la boutique, des perles de Ratufu ou un nouveau masque.[n][n]
zts1991e	Chapeau Panda
zts1992e	Costume de panda
zts1993e	Carte de spécialiste du Garde-chasse
zts1994e	Paquet-cadeau
zts1995e	Super paquet-cadeau. Double-clique pour recevoir un de ces objets [n]
zts1996e	élément de l'obscurité/carte de spécialiste de puissance de l'obscurité[n][n]Force l'ennemi à se soumettre, de manière honnorable... ou non ![n]Le guerrier le plus puissant du champs de bataille ![n]
